City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
526,Manaquiri,BR,78.8,thunderstorm,-3.32,-60.35,
527,San Patricio,US,77.0,overcast clouds,28.02,-97.52,"Motel 6 Sinton, TX"
531,Port Moresby,PG,87.8,haze,-9.44,147.18,Lamana Hotel
538,Ugoofaaru,MV,82.87,few clouds,5.67,73.0,Ungoofaaru Inn
543,Lafiagi,NG,78.22,overcast clouds,8.87,5.42,Bus group international
546,Tagusao,PH,85.19,moderate rain,9.19,117.81,Toledo
547,Moree,AU,89.6,overcast clouds,-29.47,149.85,Molika Springs Motel
553,Poum,NC,76.08,broken clouds,-20.23,164.02,Gîte kajeon
554,Neuquen,AR,75.2,clear sky,-38.95,-68.06,Hotel del Comahue
557,Lazaro Cardenas,MX,77.36,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
559,Butterworth,MY,80.6,few clouds,5.4,100.36,Cititel Penang
566,Calabozo,VE,75.79,overcast clouds,8.92,-67.43,Hotel Giardini
569,Sola,VU,87.8,broken clouds,-13.88,167.55,Ulkel Guest House
573,Kathu,TH,82.99,few clouds,7.92,98.33,Novotel Phuket Resort
574,Acarau,BR,80.35,scattered clouds,-2.89,-40.12,castelo pizzaria
578,Alcantara,BR,80.6,few clouds,-2.41,-44.41,Pousada da Josefa
597,Thinadhoo,MV,81.95,clear sky,0.53,72.93,
600,Uruguaiana,BR,78.8,clear sky,-29.75,-57.09,Fares Turis Hotel
608,Male,MV,82.4,scattered clouds,4.17,73.51,Hotel Octave Maldives
609,Alofi,NU,84.2,scattered clouds,-19.06,-169.92,Taloa Heights
621,Dicabisagan,PH,78.94,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
624,Gamba,GA,76.05,heavy intensity rain,-2.65,10.0,
630,Lat Yao,TH,76.78,overcast clouds,15.75,99.79,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
635,Honiara,SB,89.6,broken clouds,-9.43,159.95,Heritage Park Hotel
646,Pringsewu,ID,84.9,broken clouds,-5.36,104.97,Urban Style by Front One
648,Gizo,SB,86.29,scattered clouds,-8.1,156.84,Imagination Island
649,Sabang,ID,81.34,moderate rain,5.89,95.32,Hotel Citra
651,Sitio Novo Do Tocantins,BR,77.38,light rain,-5.52,-47.46,Imperial Hotel
653,Det Udom,TH,80.01,broken clouds,14.91,105.08,Chatsuda Resort
654,Kirakira,SB,85.51,light rain,-10.45,161.92,SanBiz Lodge
657,Paka,MY,84.2,scattered clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
660,Bucerias,MX,78.8,few clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
676,Bida,NG,78.24,scattered clouds,9.08,6.02,Royal Suite
677,Villa Carlos Paz,AR,81.0,clear sky,-31.42,-64.5,Monte Carlo
682,Bac Lieu,VN,80.85,clear sky,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
684,Lakes Entrance,AU,82.99,moderate rain,-37.88,147.98,The Esplanade Resort & Spa
685,Boca Do Acre,BR,77.18,overcast clouds,-8.75,-67.4,Hotel Linhares
686,Poya,NC,80.85,broken clouds,-21.35,165.15,
687,Kimbe,PG,89.4,light rain,-5.55,150.14,Kimbe Bay Hotel
